Ep   89/1500 | Reward=  -79.10 | EpBest=  3047.8万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 2.87% | Imp= 5 | MILP= 22 | ALoss=-0.1255 CLoss=43.7081 | LR=9.9e-05 | Time=1319s
Ep   90/1500 | Reward= -121.41 | EpBest=  3499.1万 | GlobalBest=  2588.8万 | LPSP= 0.19% | LREG= 5.03% | Imp= 6 | MILP= 25 | ALoss=-0.1137 CLoss=186.6925 | LR=9.9e-05 | Time=1334s
Ep   91/1500 | Reward=  -94.70 | EpBest=  3182.5万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 0.68% | Imp= 7 | MILP= 22 | ALoss=-0.1157 CLoss=83.6238 | LR=9.9e-05 | Time=1345s
Ep   92/1500 | Reward=  -55.34 | EpBest=  2922.8万 | GlobalBest=  2588.8万 | LPSP= 0.19% | LREG= 3.83% | Imp= 0 | MILP= 15 | ALoss=-0.0917 CLoss=49.0780 | LR=9.9e-05 | Time=1353s
Ep   93/1500 | Reward=  -85.70 | EpBest=  3249.8万 | GlobalBest=  2588.8万 | LPSP= 0.05% | LREG= 0.24% | Imp= 4 | MILP= 20 | ALoss=-0.1279 CLoss=76.1050 | LR=9.9e-05 | Time=1364s
Ep   94/1500 | Reward=  -89.51 | EpBest=  3543.7万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 2.01% | Imp= 6 | MILP= 22 | ALoss=-0.0888 CLoss=105.3814 | LR=9.9e-05 | Time=1374s
Ep   95/1500 | Reward=  -85.49 | EpBest=  3230.7万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 0.94% | Imp= 4 | MILP= 20 | ALoss=-0.1046 CLoss=42.7563 | LR=9.9e-05 | Time=1385s
Ep   96/1500 | Reward= -122.02 | EpBest=  4049.0万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 6.14% | Imp= 4 | MILP= 27 | ALoss=-0.1035 CLoss=240.0351 | LR=9.9e-05 | Time=1395s
Ep   97/1500 | Reward=  -81.01 | EpBest=  3214.7万 | GlobalBest=  2588.8万 | LPSP= 0.40% | LREG= 1.88% | Imp= 5 | MILP= 20 | ALoss=-0.0994 CLoss=208.6067 | LR=9.9e-05 | Time=1408s
Ep   98/1500 | Reward=  -62.52 | EpBest=  3869.7万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 7.79% | Imp= 0 | MILP= 15 | ALoss=-0.1459 CLoss=77.6641 | LR=9.9e-05 | Time=1414s
